Método,Tipo,Tamanho,Execução,Tempo(ns)
Quick Sort,Crescente,100,1,98700
Quick Sort,Crescente,100,2,39600
Quick Sort,Crescente,100,3,47200
Quick Sort,Crescente,100,4,39500
Quick Sort,Crescente,100,5,38200
Quick Sort,Crescente,100,6,54600
Quick Sort,Crescente,100,7,35000
Quick Sort,Crescente,100,8,31300
Quick Sort,Crescente,100,9,52100
Quick Sort,Crescente,100,10,127000
Quick Sort,Crescente,1000,1,83600
Quick Sort,Crescente,1000,2,110700
Quick Sort,Crescente,1000,3,106000
Quick Sort,Crescente,1000,4,61300
Quick Sort,Crescente,1000,5,55600
Quick Sort,Crescente,1000,6,66900
Quick Sort,Crescente,1000,7,67000
Quick Sort,Crescente,1000,8,57500
Quick Sort,Crescente,1000,9,111800
Quick Sort,Crescente,1000,10,56600
Quick Sort,Crescente,10000,1,1125300
Quick Sort,Crescente,10000,2,834600
Quick Sort,Crescente,10000,3,746600
Quick Sort,Crescente,10000,4,709100
Quick Sort,Crescente,10000,5,697300
Quick Sort,Crescente,10000,6,816600
Quick Sort,Crescente,10000,7,726100
Quick Sort,Crescente,10000,8,3493800
Quick Sort,Crescente,10000,9,4839700
Quick Sort,Crescente,10000,10,4751600
Quick Sort,Crescente,100000,1,1125300
Quick Sort,Crescente,100000,2,834600
Quick Sort,Crescente,100000,3,746600
Quick Sort,Crescente,100000,4,709100
Quick Sort,Crescente,100000,5,697300
Quick Sort,Crescente,100000,6,816600
Quick Sort,Crescente,100000,7,726100
Quick Sort,Crescente,100000,8,3493800
Quick Sort,Crescente,100000,9,4839700
Quick Sort,Crescente,100000,10,4751600
Quick Sort,Crescente,1000000,1,24212000
Quick Sort,Crescente,1000000,2,23547900
Quick Sort,Crescente,1000000,3,20477200
Quick Sort,Crescente,1000000,4,21354600
Quick Sort,Crescente,1000000,5,23881000
Quick Sort,Crescente,1000000,6,22112600
Quick Sort,Crescente,1000000,7,21966000
Quick Sort,Crescente,1000000,8,20146000
Quick Sort,Crescente,1000000,9,21991800
Quick Sort,Crescente,1000000,10,21865100
Método,Tipo,Tamanho,Execução,Tempo(ns)
Quick Sort,Decrescente,100,1,175500
Quick Sort,Decrescente,100,2,35300
Quick Sort,Decrescente,100,3,34600
Quick Sort,Decrescente,100,4,76800
Quick Sort,Decrescente,100,5,39200
Quick Sort,Decrescente,100,6,55900
Quick Sort,Decrescente,100,7,33900
Quick Sort,Decrescente,100,8,32500
Quick Sort,Decrescente,100,9,72400
Quick Sort,Decrescente,100,10,5500
Quick Sort,Decrescente,1000,1,116300
Quick Sort,Decrescente,1000,2,184200
